None 29
None 53
None 47
None 53
None 74
None 58
None 75
None 53
None 49
None 55
None 60
None 64
None 58
None 48
None 51
None 51
None 46
None 54
None 60
None 56
38.529142667 -121.409122667 83
38.529324167 -121.409121833 72
38.529504 -121.409121333 52
38.5296815 -121.409122833 69
38.529855333 -121.409124667 59
38.530027333 -121.409126167 59
38.530199333 -121.409126833 61
38.530374 -121.409126667 67
38.5305455 -121.409127667 60
38.5307185 -121.409128167 66
38.530895 -121.409128167 61
38.531073167 -121.409129667 48
38.531254 -121.409131333 52
38.531436833 -121.4091325 65
38.531620667 -121.409133333 60
38.531806167 -121.409134667 58
38.531991333 -121.409135167 66
38.5321715 -121.409135333 61
38.532348167 -121.4091345 66
38.532528 -121.409133833 66
38.532707 -121.409134833 66
38.532886833 -121.409134833 73
38.5330685 -121.409133167 59
38.533249833 -121.409131333 71
38.533428333 -121.409130833 72
38.533609333 -121.409129167 64
38.533788 -121.4091285 77
38.533966667 -121.409127833 61
38.534145667 -121.4091275 66
38.534323333 -121.4091265 67
38.5345005 -121.409124333 56
38.534674833 -121.409125 63
38.534846 -121.409125333 59
38.535014833 -121.4091245 52
38.535179 -121.409124667 85
38.535339833 -121.409124667 63
38.535497 -121.409125 59
38.535652833 -121.409125 61
38.535806833 -121.409124333 68
38.535957833 -121.409123333 62
38.536107167 -121.409122333 65
38.536253 -121.409120333 56
38.536396167 -121.409119667 68
38.5365345 -121.409119167 67
38.536668667 -121.409116833 71
38.536796 -121.409115 77
38.536908833 -121.409112667 73
38.537015333 -121.409108 51
38.537115333 -121.409104 70
38.537208333 -121.409101833 67
38.537293333 -121.4091 65
38.537376667 -121.409097333 63
38.537462167 -121.409094167 54
38.537551667 -121.409091667 68
38.537648833 -121.4090895 64
38.537755 -121.4090905 64
38.537865 -121.409090667 57
38.537978833 -121.409091 67
38.5380985 -121.409091 61
38.538224333 -121.409090667 60
38.538356167 -121.409087333 62
38.538493833 -121.4090785 73
38.5386395 -121.409062333 56
